City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,new norfolk,-42.7826,147.0587,13.72,94,100,0.65,AU,1675881179
292,tahe,52.3333,124.7333,-28.84,100,13,1.72,CN,1675881179
293,kavieng,-2.5744,150.7967,26.92,79,100,3.84,PG,1675881180
294,talnakh,69.4865,88.3972,-21.0,96,100,3.86,RU,1675880638
295,mareeba,-17.0,145.4333,23.58,90,56,1.0,AU,1675881180
296,kembe,4.6228,21.8865,26.07,16,11,1.63,CF,1675881181
297,bac lieu,9.285,105.7244,25.05,86,11,5.97,VN,1675881181
298,la ligua,-32.4524,-71.2311,28.1,46,0,4.18,CL,1675881182
299,gat,31.61,34.7642,8.55,100,98,4.22,IL,1675880704
300,karema,-6.8205,30.4389,21.61,86,87,2.11,TZ,1675881182
301,bama,11.5221,13.6856,23.85,24,91,4.43,NG,1675881184
302,cervo,43.6702,-7.4101,11.65,84,14,6.6,ES,1675881184
303,dzilam gonzalez,21.2833,-88.9333,32.05,40,0,4.2,MX,1675881185
304,svetlyy,54.675,20.1347,0.03,81,74,5.4,RU,1675880774
305,iqaluit,63.7506,-68.5145,-29.15,69,75,0.0,CA,1675880537
306,airai,-8.9266,125.4092,15.48,96,94,0.75,TL,1675880334
307,alice springs,-23.7,133.8833,21.75,73,2,2.06,AU,1675880695
308,castro,-24.7911,-50.0119,27.39,46,12,1.98,BR,1675881187
309,marawi,7.9986,124.2928,19.7,95,100,0.18,PH,1675881187
310,toul,48.6667,5.9167,3.16,55,0,3.09,FR,1675881188
311,la ronge,55.1001,-105.2842,-6.86,58,20,4.63,CA,1675881189
312,nanortalik,60.1432,-45.2371,-0.65,81,100,4.86,GL,1675881189
313,shiloh,38.5614,-89.8973,7.73,76,100,3.09,US,1675881190
314,birjand,32.8663,59.2211,13.26,22,0,4.12,IR,1675881190
315,conde,-7.2597,-34.9075,29.7,58,20,6.69,BR,1675880976
316,severo-kurilsk,50.6789,156.125,-6.09,69,95,4.06,RU,1675881191
317,bilma,18.6853,12.9164,22.44,15,5,3.39,NE,1675881191
318,pangnirtung,66.1451,-65.7125,-28.0,63,20,0.0,CA,1675881192
319,sumbe,-11.2061,13.8437,24.66,79,20,3.04,AO,1675881192
320,cajaruro,-5.7364,-78.4256,32.91,43,85,1.87,PE,1675881193
321,sambava,-14.2667,50.1667,24.67,89,54,3.5,MG,1675881193
322,barguzin,53.6167,109.6167,-18.07,93,87,0.97,RU,1675881194
323,trairi,-3.2778,-39.2689,28.97,59,96,5.75,BR,1675881094
324,pimentel,-6.8367,-79.9342,30.16,48,20,9.77,PE,1675881194
325,luena,-11.7833,19.9167,17.3,88,99,1.54,AO,1675881195
326,cairns,-16.9167,145.7667,26.15,97,40,0.0,AU,1675881107
327,guozhen,34.3659,107.359,3.99,97,100,0.62,CN,1675881196
328,mwene-ditu,-7.0,23.45,18.48,96,100,3.19,CD,1675881198
329,coquimbo,-29.9533,-71.3436,20.85,73,20,6.17,CL,1675881199
330,yumen,40.2833,97.2,-3.48,53,0,1.79,CN,1675881200
331,huzhou,30.8703,120.0933,7.17,87,100,3.76,CN,1675881202
332,aden,12.7794,45.0367,24.75,71,12,1.43,YE,1675881203
333,almaznyy,48.0448,40.045,-9.94,93,6,4.61,RU,1675881204
334,sirjan,29.452,55.6814,8.25,52,100,5.38,IR,1675881207
335,natal,-5.795,-35.2094,31.36,58,20,8.23,BR,1675880562
336,aksarka,66.5606,67.7975,-4.46,82,87,8.24,RU,1675881209
337,salalah,17.0151,54.0924,24.05,78,0,0.0,OM,1675881209
338,kungurtug,50.5994,97.5228,-17.48,94,100,0.58,RU,1675881210
339,kribi,2.95,9.9167,26.94,83,100,3.91,CM,1675881212
340,campina verde,-19.5356,-49.4864,28.01,69,95,3.58,BR,1675881213
341,amurzet,47.6967,131.0981,-25.34,94,5,2.51,RU,1675881213
342,troitskiy,57.0603,63.7481,-9.84,94,100,4.02,RU,1675881215
343,kahului,20.8947,-156.47,24.36,68,75,6.69,US,1675881137
344,yulara,-25.2406,130.9889,27.56,43,4,3.33,AU,1675881216
345,mancio lima,-7.6142,-72.8958,30.04,66,40,2.06,BR,1675881216
346,skjervoy,70.0311,20.9714,10.0,64,100,13.31,NO,1675881217
347,ust-tsilma,65.441,52.1498,-3.36,90,100,4.21,RU,1675881217
348,atasu,48.6814,71.6433,-10.64,95,100,4.24,KZ,1675881219
349,shingu,33.7333,135.9833,3.47,80,13,2.84,JP,1675881220
350,manglaur,29.8,77.8667,12.63,48,75,2.44,IN,1675881220
351,vostok,46.4856,135.8833,-25.46,99,100,2.31,RU,1675881221
352,bandarbeyla,9.4942,50.8122,24.34,80,4,3.6,SO,1675881221
353,isangel,-19.55,169.2667,25.61,89,100,3.67,VU,1675880623
354,fairview,40.8126,-73.999,11.71,45,0,5.66,US,1675880935
355,san patricio,28.017,-97.5169,14.54,81,100,8.24,US,1675881222
356,alta floresta,-9.8756,-56.0861,30.9,62,20,2.06,BR,1675881223
357,biak,-0.9131,122.8766,23.99,82,100,1.91,ID,1675880745
358,nishihara,26.1842,127.7558,17.6,80,20,6.17,JP,1675881223
359,tazovskiy,67.4667,78.7,-14.81,93,100,8.39,RU,1675880631
360,boden,65.8252,21.6886,0.0,89,100,5.37,SE,1675881224
361,tondano,1.3038,124.9112,17.05,93,100,0.87,ID,1675881224
362,palu,-0.8917,119.8707,23.93,92,100,0.96,ID,1675881224
363,bengkulu,-3.8004,102.2655,23.8,87,72,2.04,ID,1675881225
364,tunceli,39.1083,39.5471,-9.28,84,97,2.66,TR,1675881226
